country,statename,statecode,year,population,number_of_e_transactions,e_transactions_per_1000_population
India,Sikkim,11,2014,607688.0,52.0,0.1
India,Sikkim,11,2014,607688.0,111.0,0.2
India,Sikkim,11,2014,607688.0,42.0,0.1
India,Sikkim,11,2014,607688.0,42.0,0.1
India,Sikkim,11,2014,607688.0,21.0,0.0
India,Sikkim,11,2014,607688.0,11.0,0.0
India,Sikkim,11,2014,607688.0,94.0,0.2
India,Sikkim,11,2014,607688.0,82.0,0.1
India,Sikkim,11,2014,607688.0,85.0,0.1
India,Sikkim,11,2014,607688.0,82.0,0.1
India,Sikkim,11,2014,607688.0,22.0,0.0
India,Sikkim,11,2014,607688.0,13.0,0.0
India,Sikkim,11,2014,607688.0,20.0,0.0
India,Sikkim,11,2014,607688.0,93.0,0.2
India,Sikkim,11,2014,607688.0,61.0,0.1
India,Sikkim,11,2014,607688.0,40.0,0.1
India,Sikkim,11,2014,607688.0,74.0,0.1
India,Sikkim,11,2014,607688.0,90.0,0.1
India,Sikkim,11,2014,607688.0,34.0,0.1
India,Sikkim,11,2014,607688.0,110.0,0.2
India,Sikkim,11,2014,607688.0,87.0,0.1
India,Sikkim,11,2014,607688.0,155.0,0.3
India,Sikkim,11,2014,607688.0,107.0,0.2
India,Sikkim,11,2014,607688.0,71.0,0.1
India,Sikkim,11,2014,607688.0,82.0,0.1
India,Sikkim,11,2014,607688.0,18.0,0.0
India,Sikkim,11,2014,607688.0,42.0,0.1
India,Sikkim,11,2014,607688.0,65.0,0.1
India,Sikkim,11,2014,607688.0,74.0,0.1
India,Sikkim,11,2014,607688.0,96.0,0.2
India,Sikkim,11,2014,607688.0,94.0,0.2
India,Sikkim,11,2014,607688.0,57.0,0.1
India,Sikkim,11,2014,607688.0,43.0,0.1
India,Sikkim,11,2014,607688.0,54.0,0.1
India,Sikkim,11,2014,607688.0,24.0,0.0
India,Sikkim,11,2014,607688.0,61.0,0.1
India,Sikkim,11,2014,607688.0,14.0,0.0
India,Sikkim,11,2014,607688.0,17.0,0.0
India,Sikkim,11,2014,607688.0,19.0,0.0
India,Sikkim,11,2014,607688.0,1.0,0.0
India,Sikkim,11,2014,607688.0,2.0,0.0
India,Sikkim,11,2014,607688.0,6.0,0.0
India,Sikkim,11,2014,607688.0,6.0,0.0
India,Sikkim,11,2014,607688.0,24.0,0.0
India,Sikkim,11,2014,607688.0,5.0,0.0
India,Sikkim,11,2014,607688.0,48.0,0.1
India,Sikkim,11,2014,607688.0,47.0,0.1
India,Sikkim,11,2014,607688.0,32.0,0.1
India,Sikkim,11,2014,607688.0,19.0,0.0
India,Sikkim,11,2014,607688.0,38.0,0.1
India,Sikkim,11,2014,607688.0,9.0,0.0
India,Sikkim,11,2014,607688.0,13.0,0.0
India,Sikkim,11,2014,607688.0,10.0,0.0
India,Sikkim,11,2014,607688.0,69.0,0.1
India,Sikkim,11,2014,607688.0,86.0,0.1
India,Sikkim,11,2014,607688.0,134.0,0.2
India,Sikkim,11,2014,607688.0,115.0,0.2
India,Sikkim,11,2014,607688.0,85.0,0.1
India,Sikkim,11,2014,607688.0,5.0,0.0
India,Sikkim,11,2014,607688.0,106.0,0.2
India,Sikkim,11,2014,607688.0,97.0,0.2
India,Sikkim,11,2014,607688.0,49.0,0.1
India,Sikkim,11,2014,607688.0,122.0,0.2
India,Sikkim,11,2014,607688.0,55.0,0.1
India,Sikkim,11,2014,607688.0,45.0,0.1
India,Sikkim,11,2014,607688.0,12.0,0.0
India,Sikkim,11,2014,607688.0,67.0,0.1
India,Sikkim,11,2014,607688.0,80.0,0.1
India,Sikkim,11,2014,607688.0,66.0,0.1
India,Sikkim,11,2014,607688.0,41.0,0.1
India,Sikkim,11,2014,607688.0,1.0,0.0
India,Sikkim,11,2014,607688.0,28.0,0.0
India,Sikkim,11,2014,607688.0,9.0,0.0
India,Sikkim,11,2014,607688.0,52.0,0.1
India,Sikkim,11,2014,607688.0,62.0,0.1
India,Sikkim,11,2014,607688.0,30.0,0.0
India,Sikkim,11,2014,607688.0,86.0,0.1
India,Sikkim,11,2014,607688.0,86.0,0.1
India,Sikkim,11,2014,607688.0,4.0,0.0
India,Sikkim,11,2014,607688.0,75.0,0.1
India,Sikkim,11,2014,607688.0,144.0,0.2
India,Sikkim,11,2014,607688.0,44.0,0.1
India,Sikkim,11,2014,607688.0,58.0,0.1
India,Sikkim,11,2014,607688.0,62.0,0.1
India,Sikkim,11,2014,607688.0,65.0,0.1
India,Sikkim,11,2014,607688.0,4.0,0.0
India,Sikkim,11,2014,607688.0,129.0,0.2
India,Sikkim,11,2014,607688.0,98.0,0.2
India,Sikkim,11,2014,607688.0,15.0,0.0
India,Sikkim,11,2014,607688.0,103.0,0.2
India,Sikkim,11,2014,607688.0,61.0,0.1
India,Sikkim,11,2014,607688.0,113.0,0.2
India,Sikkim,11,2014,607688.0,9.0,0.0
India,Sikkim,11,2014,607688.0,38.0,0.1
India,Sikkim,11,2014,607688.0,88.0,0.1
India,Sikkim,11,2014,607688.0,81.0,0.1
India,Sikkim,11,2014,607688.0,94.0,0.2
India,Sikkim,11,2014,607688.0,24.0,0.0
India,Sikkim,11,2014,607688.0,25.0,0.0
India,Sikkim,11,2014,607688.0,7.0,0.0
India,Sikkim,11,2014,607688.0,68.0,0.1
India,Sikkim,11,2014,607688.0,204.0,0.3
India,Sikkim,11,2014,607688.0,134.0,0.2
India,Sikkim,11,2014,607688.0,26.0,0.0
India,Sikkim,11,2014,607688.0,126.0,0.2
India,Sikkim,11,2014,607688.0,72.0,0.1
India,Sikkim,11,2014,607688.0,5.0,0.0
India,Sikkim,11,2014,607688.0,100.0,0.2
India,Sikkim,11,2014,607688.0,109.0,0.2
India,Sikkim,11,2014,607688.0,103.0,0.2
